player_id,player_name,team,position,games_played,points_per_game,assists_per_game,rebounds_per_game,draft_year,team_conference
1,Gal Mekel,Lakers,Guard,19,28.9,8.3,12.3,2016,West
2,Paolo Banchero,Warriors,Guard,17,28.7,9.1,1.3,2015,West
3,John DiBartolomeo (naturalized),Heat,Guard,23,26.2,2.7,5.9,2013,East
4,Roi Huber,Heat,Guard,37,9.8,2.6,7,2013,East
5,Oz Blayzer,Heat,Guard,48,13.6,4.7,11.6,2013,East
6,Retin Obasohan,Hapoel Jerusalem,Center,31,12.2,8.2,13.7,2002,IL
7,Draymond Green,Hapoel Jerusalem,Guard,46,22.1,7.5,11.3,2002,IL
8,George Gervin,Heat,Guard,78,8.2,8.8,0.6,2013,East
9,Klay Thompson,Heat,Forward,16,17.9,4.3,6.8,2013,East
10,Bennedict Mathurin,Spurs,Guard,32,9.6,4.4,10.2,2012,West
11,Lorenzo Brown,Celtics,Center,42,8.1,5.9,4.6,2015,East
12,Gilad Levi,Heat,Forward,53,11.1,0.9,11.5,2013,East
13,Amnon Avidan,Spurs,Center,35,16.2,3.6,14.5,2012,West
14,Tal Brody,Hapoel Jerusalem,Forward,14,29.6,5.6,1.9,2002,IL
15,Kristaps Porzingis,Warriors,Guard,71,7.4,4.6,2.3,2015,West
16,Roi Plesner,Spurs,Center,24,28.3,6.8,6.4,2012,West
17,Desmond Bane,Celtics,Guard,44,21.9,8.3,6.3,2015,East
18,Jamal Murray,Celtics,Center,32,5.4,3.7,4.6,2015,East
19,Bar Timor,Hapoel Jerusalem,Guard,79,16.5,1.1,3.3,2002,IL
20,Luka Doncic,Bulls,Forward,21,25.1,4.1,7.8,2016,East
21,Mickey Berkowitz,Hapoel Jerusalem,Guard,73,25.7,6.3,13.6,2002,IL
22,Shai Gilgeous-Alexander,Heat,Guard,78,8.2,7.7,14.4,2013,East
23,Zion Williamson,Hapoel Jerusalem,Guard,49,27.9,5.1,1.5,2002,IL
24,Tyrese Maxey,Maccabi Tel Aviv,Guard,68,26.1,6.2,9.3,2012,IL
25,Motti Aroesti,Hapoel Jerusalem,Center,25,24,5.5,11.3,2002,IL
26,Elijah Bryant,Lakers,Forward,10,8.2,9.7,8.5,2016,West
27,Scottie Barnes,Hapoel Jerusalem,Guard,51,10,9.9,0.9,2002,IL
28,Jaylen Adams,Maccabi Tel Aviv,Forward,28,8.1,1.3,13.6,2012,IL
29,Damian Lillard,Celtics,Center,45,25.1,4,14.6,2015,East
30,Lior Eliyahu,Heat,Guard,38,16.5,9.2,9.9,2013,East
31,Cade Cunningham,Lakers,Center,48,23.4,5.2,5,2016,West
32,Yiftach Feldman,Heat,Forward,22,22.8,7.1,7,2013,East
33,Tyrese Haliburton,Warriors,Center,60,16.1,7.5,2,2015,West
34,Chris Middleton,Heat,Center,16,16.7,1.5,0.2,2013,East
35,Joel Embiid,Bulls,Forward,53,25.7,3.2,5.6,2016,East
36,Kobe Bryant,Celtics,Guard,12,11.7,7.6,1.5,2015,East
37,Scottie Barnes,Bulls,Guard,13,19.9,4.4,6.2,2016,East
38,Jaren Jackson Jr.,Bulls,Guard,17,15.7,0,12,2016,East
39,Luka Doncic,Hapoel Jerusalem,Forward,56,17.5,5.8,9.4,2002,IL
40,T. J. Leaf,Lakers,Center,36,14.8,7,5.9,2016,West
41,Luka Doncic,Heat,Forward,76,16.5,6.5,5.2,2013,East
42,Anthony Parker,Bulls,Forward,78,20,8.3,7.6,2016,East
43,Giannis Antetokounmpo,Heat,Forward,80,22.8,9.5,13.7,2013,East
44,Scottie Pippen,Celtics,Center,77,21.7,9.2,5.8,2015,East
45,Yair Kravitz,Lakers,Center,32,23,0,12.4,2016,West
46,Itay Segev,Lakers,Guard,20,11.8,3.3,0.9,2016,West
47,Hedo Turkoglu,Maccabi Tel Aviv,Center,58,28.1,3.5,6.5,2012,IL
48,Anthony Davis,Bulls,Center,58,25.1,3.1,7.6,2016,East
